iter	RMSE
0	0.3860310325
1	0.3736647499
2	0.3619068179
3	0.3510050228
4	0.3418291592
5	0.3309604312
6	0.3217859133
7	0.3112638124
8	0.3023124085
9	0.2935730967
10	0.2853200806
11	0.2771046973
12	0.2693552422
13	0.2621019989
14	0.2561452612
15	0.2492490962
16	0.2436321872
17	0.2377933361
18	0.232230607
19	0.2269810913
20	0.2220308178
21	0.2174182636
22	0.2121508255
23	0.207741357
24	0.2032332511
25	0.1991440802
26	0.195636588
27	0.1921125899
28	0.1883869448
29	0.18517097
30	0.1820051142
31	0.1789983368
32	0.1762699665
33	0.173358458
34	0.1708230617
35	0.1684290902
36	0.1661185643
37	0.1637817903
38	0.1615255862
39	0.1597871903
40	0.1578709448
41	0.155996504
42	0.1541579523
43	0.1525545923
44	0.1509419843
45	0.1493414644
46	0.148205125
47	0.1467532453
48	0.1455493755
49	0.1445403295
50	0.1431496808
51	0.1418370907
52	0.1406103766
53	0.1394074094
54	0.1382539151
55	0.1372489767
56	0.1361934636
57	0.1353795786
58	0.1344417063
59	0.1336693434
60	0.1326396371
61	0.1318522283
62	0.1309433813
63	0.130074856
64	0.1292789637
65	0.1286326522
66	0.1279668552
67	0.1271870405
68	0.1265596035
69	0.126007559
70	0.1254089208
71	0.125028922
72	0.1244681103
73	0.1239304074
74	0.1233131888
75	0.1226812163
76	0.1221544262
77	0.1215789653
78	0.1210340433
79	0.1206031021
80	0.1201588868
81	0.1197782014
82	0.119421163
83	0.1189085625
84	0.1184895254
85	0.1181416676
86	0.1178203498
87	0.1173254951
88	0.1169199682
89	0.1166088608
90	0.1162499668
91	0.11577515
92	0.1155669874
93	0.115311093
94	0.1149360683
95	0.1146707636
96	0.1143261204
97	0.1140586747
98	0.1136747361
99	0.1133392421
100	0.1130544782
101	0.1126197834
102	0.1123178786
103	0.1119856858
104	0.1116982191
105	0.1113831586
106	0.1110885531
107	0.1107961118
108	0.1104979587
109	0.1102196253
110	0.1099472408
111	0.1097052125
112	0.1094870537
113	0.1092304128
114	0.1089650659
115	0.1086707335
116	0.108386793
117	0.1081280631
118	0.1079255937
119	0.1077709732
120	0.1075626301
121	0.1072999871
122	0.1070236492
123	0.1068165957
124	0.1066994341
125	0.1064811954
126	0.1063527504
127	0.1060696513
128	0.1058213233
129	0.1056335581
130	0.1055902861
131	0.1053752673
132	0.1052228459
133	0.1049643124
134	0.1047695605
135	0.1046078546
136	0.1044147826
137	0.1042934264
138	0.1040573691
139	0.1038377278
140	0.1036448687
141	0.1034751272
142	0.1032456697
143	0.1030243245
144	0.1028694245
145	0.1026928565
146	0.1024809643
147	0.102323945
148	0.1021656505
149	0.1019752257
150	0.1017479746
151	0.1015679773
152	0.101328591
153	0.1011262308
154	0.1008668184
155	0.1007996657
156	0.1006327109
157	0.100451186
158	0.1003633181
